"gender"	"Age"	"attitude"	"deep"	"stra"	"surf"	"Points"	"deep_adjusted"	"surface_adjusted"	"strategic_adjusted"	"DS"
"97"	"M"	21	4.2	3.75	3.75	3.66666666666667	23	0.3125	0.305555555555556	0.46875	"1"
"98"	"M"	21	3.2	4.16666666666667	3.625	2.83333333333333	26	0.347222222222222	0.236111111111111	0.453125	"1"
"99"	"F"	20	5	4	4.125	3.41666666666667	28	0.333333333333333	0.284722222222222	0.515625	"1"
"100"	"M"	22	4.7	4	4.375	1.58333333333333	31	0.333333333333333	0.131944444444444	0.546875	"1"
"101"	"F"	20	3.6	4.58333333333333	2.625	2.91666666666667	27	0.381944444444444	0.243055555555556	0.328125	"1"
"102"	"F"	20	3.6	3.66666666666667	4	3	25	0.305555555555556	0.25	0.5	"1"
"103"	"M"	24	2.9	3.66666666666667	2.75	2.91666666666667	23	0.305555555555556	0.243055555555556	0.34375	"1"
"104"	"F"	20	3.5	3.83333333333333	2.75	2.66666666666667	21	0.319444444444444	0.222222222222222	0.34375	"1"
"105"	"F"	19	4	2.58333333333333	1.375	3	27	0.215277777777778	0.25	0.171875	"0"
"106"	"F"	21	3.5	3.5	2.25	2.75	28	0.291666666666667	0.229166666666667	0.28125	"1"
"107"	"F"	21	3.2	3.08333333333333	3.625	3.08333333333333	23	0.256944444444444	0.256944444444444	0.453125	"0"
"108"	"F"	22	2.6	4.25	3.75	2.5	21	0.354166666666667	0.208333333333333	0.46875	"1"
"109"	"F"	25	2	3.16666666666667	4	2.33333333333333	25	0.263888888888889	0.194444444444444	0.5	"1"
"110"	"F"	21	2.7	3.08333333333333	3.125	3	11	0.256944444444444	0.25	0.390625	"1"
"111"	"F"	22	3.2	4.16666666666667	3.25	3	19	0.347222222222222	0.25	0.40625	"1"
"112"	"F"	25	3.3	2.25	2.125	4	24	0.1875	0.333333333333333	0.265625	"0"
"113"	"F"	20	3.9	3.33333333333333	2.875	3.25	28	0.277777777777778	0.270833333333333	0.359375	"1"
"114"	"M"	24	3.3	3.08333333333333	1.5	3.5	21	0.256944444444444	0.291666666666667	0.1875	"0"
